Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,SCOOP Rating
Aeluma Inc. (NASDAQ Uplisting),ALMU,Technology,3/27/2025,2.3,$5.25,$6.51,$6.51,0.00%,S/O
WF Holding Ltd. (Malaysia),WFF,Industrials,3/27/2025,2.0,$4.00,$3.75,$3.75,-6.25%,S/O
Epsium Enterprise Ltd.,EPSM,Consumer Goods,3/26/2025,1.3,$4.00,$4.82,$4.82,20.25%,S/O
NeOnc Technologies Holdings (Direct Listing),NTHI,Health Care,3/26/2025,2.1,$25.00,$12.11,$12.11,-51.56%,S/O
LogProStyle Inc. (Kabushiki Kaisha LogProstyle),LGPS,Other,3/25/2025,2.0,$5.00,$3.70,$3.70,-26.00%,S/O
Baiya International Group,BIYA,Technology,3/21/2025,2.5,$4.00,$4.18,$4.18,4.50%,S/O
RedCloud Holdings plc,RCT,Consumer Services,3/21/2025,4.4,$4.50,$4.50,$4.50,0.00%,S/O
"Marwynn Holdings, Inc.",MWYN,Consumer Goods,3/13/2025,2.0,$4.00,$0.00,$0.00,0.00%,S/O
Micropolis Holding Co.,MCRP,Technology,3/7/2025,3.9,$4.00,$3.55,$3.55,-11.25%,S/O
Sagtec Global Ltd.,SAGT,Technology,3/7/2025,1.8,$4.00,$3.60,$3.60,-10.00%,S/O
Advanced Biomed Inc.,ADVB,Health Care,3/6/2025,1.6,$4.00,$3.65,$3.65,-8.75%,S/O
"Brag House Holdings, Inc.",TBH,Consumer Goods,3/6/2025,1.5,$4.00,$4.30,$4.30,8.75%,S/O
Capstone Holding Corp. (Uplisting),CAPS,Basic Materials,3/6/2025,1.3,$4.00,$3.90,$3.90,-2.50%,S/O
"Kestra Medical Technologies, Ltd.",KMTS,Health Care,3/6/2025,11.9,$17.00,$21.84,$20.99,23.47%,S/O
Skycorp Solar Group Ltd.,PN,Technology,3/4/2025,2.0,$4.00,$4.03,$4.03,0.30%,S/O
Luda Technology Group Ltd.,LUD,Industrials,2/27/2025,2.5,$4.00,$4.00,$4.00,0.00%,S/O
LZ Technology Holdings Ltd.,LZMH,Technology,2/27/2025,1.8,$4.00,$5.00,$16.53,313.25%,S/O
Webus International Ltd.,WETO,Consumer Services,2/27/2025,2.0,$4.00,$3.60,$3.60,-10.00%,S/O
STAK Inc.,STAK,Oil & Gas,2/26/2025,1.3,$4.00,$3.73,$3.73,-6.75%,S/O
Basel Medical Group,BMGL,Health Care,2/25/2025,2.2,$4.00,$4.44,$4.14,3.50%,S/O
Wellgistics Health,WGRX,Health Care,2/21/2025,0.9,$4.50,$3.81,$2.76,-38.67%,S/O
Anbio Biotechnology Limited,NNNN,Health Care,2/19/2025,1.6,$5.00,$5.77,$6.36,27.20%,S/O
Northpointe Bancshares Inc.,NPB,Financials,2/14/2025,10.4,$14.50,$14.50,$14.35,-1.04%,S/O
Aardvark Therapeutics,AARD,Health Care,2/13/2025,5.9,$16.00,$14.31,$13.65,-14.69%,S/O
Karman Holdings,KRMN,Industrials,2/13/2025,23.0,$22.00,$30.05,$30.14,37.00%,S/O
"SailPoint Parent, LP",SAIL,Technology,2/13/2025,60.0,$23.00,$22.00,$24.06,4.61%,S/O
TEN Holdings,XHLD,Technology,2/13/2025,1.7,$6.00,$6.80,$1.30,-78.33%,S/O
