File Date,Company,Symbol,Managers,Shares (millions),Price Low,Price High,Est $ Vol (millions),Expected To Trade,SCOOP Rating
2026-01-30,VenHub Global Inc. (Direct Listing),VNHB,Revere Securities (Financial Advisor),15.55,$24.00,$24.00,$372.00,Friday,S/O
2026-01-29,"Bounty Minerals, Inc.",BNTY,Raymond James/ Stifel/ Stephens Inc.,0.0,,,$100.00,TBA,S/O
2026-01-29,Grayscale Investments,GRAY,"Morgan Stanley/Jefferies/BofA Securities/Cantor/Wells Fargo Securities/Canaccord Genuity/Piper Sandler/Keefe, Bruyette & Woods/Needham & Co.",0.0,,,$100.00,TBA,S/O
2026-01-29,M Evo Global Acquisition II,MEVOU,Cohen & Company Capital Markets,27.0,$10.00,$10.00,$270.00,Priced,S/O
2026-01-29,Muzero Acquisition,MUZEU,BTIG,17.5,$10.00,$10.00,$175.00,Priced,S/O
2026-01-29,Newbridge Acquisition Ltd.,NBRGU,Kingswood Capital Markets,5.0,$10.00,$10.00,$50.00,Priced,S/O
2026-01-29,PicS N.V. (Picpay Holdings Netherlands B.V.),PICS,Citigroup/BofA Securities/RBC Capital Markets/Mizuho/Wolfe Nomura Alliance/Bradesco BBI/BB Securities Ltd./BTG Pactual/XP Investment Banking,22.86,$19.00,$19.00,$434.28,Priced,S/O
2026-01-28,Ethos Technologies Inc.,LIFE,Goldman Sachs/J.P.Morgan/BofA Securities/Citigroup/Deutsche Bank Securities/Citizens/William Blair/Baird,10.53,$19.00,$19.00,$199.99,Priced,S/O
2026-01-28,K2 Capital Acquisition Corp.,KTWOU,D. Boral Capital (ex-EF Hutton),12.0,$10.00,$10.00,$120.00,Priced,S/O
2026-01-28,Polaryx Therapeutics (Direct Listing),PLYX,Maxim Group (Financial Advisor),0.0,$45.00,$45.00,,Priced,S/O
2026-01-28,Public Policy Holding Co. (NASDAQ Uplisting),PPHC,Oppenheimer & Co./Canaccord Genuity/Texas Capital Securities,4.15,$12.25,$12.25,$50.80,Priced,S/O
2026-01-28,Space Asset Acquisition Corp.,SAAQU,BTIG,20.0,$10.00,$10.00,$200.00,Priced,S/O
2026-01-28,United Acquisition Corp. I,UAC.U,Chardan,10.0,$10.00,$10.00,$100.00,Priced,S/O
2026-01-27,KRAKacquisition Corp.,KRAQU,Santander,30.0,$10.00,$10.00,$300.00,Priced,S/O
2026-01-27,SFIDA X,SFDX,ThinkEquity,1.0,$5.00,$6.00,$5.50,Withdrawn,S/O
2026-01-27,Xsolla SPAC 1,XSLLU,D. Boral Capital (ex-EF Hutton),20.0,$10.00,$10.00,$200.00,Priced,S/O
2026-01-26,Virtuix Holdings (Direct Listing),VTIX,Maxim Group (Financial Advisor),34.21,,,,TBA,S/O
2026-01-26,York Space Systems (Yellowstone),YSS,Goldman Sachs/Jefferies/Wells Fargo Securities/J.P. Morgan/Citigroup/Truist/Baird/Raymond James,18.5,$34.00,$34.00,$629.00,Priced,S/O
2026-01-23,Rank One Computing Corp.,ROC,The Benchmark Company,4.0,$6.00,$6.00,$24.00,Priced,S/O
2026-01-22,Archimedes Tech SPAC Partners III,ARCIU,BTIG,24.0,$10.00,$10.00,$240.00,Priced,S/O
2026-01-22,BitGo Holdings,BTGO,"Goldman Sachs/Citigroup/Deutsche Bank Securities/Mizuho Securities/Wells Fargo Securities/Keefe, Bruyette & Woods (A Stifel Company)/Canaccord Genuity/Cantor",11.82,$18.00,$18.00,$212.76,Priced,S/O
2026-01-22,"EquipmentShare.com, Inc.",EQPT,Goldman Sachs/Wells Fargo Securities/UBS Investment Bank/Citigroup/Guggenheim Securities/Citizens JMP/Truist Securities/Baird/Oppenheimer & Co./KeyBanc Capital Markets,30.5,$24.50,$24.50,$747.25,Priced,S/O
2026-01-22,Helix Acquisition Corp. III (Stock-Only SPAC),HLXC,Leerink Partners/Oppenheimer & Co.,15.0,$10.00,$10.00,$150.00,Priced,S/O
2026-01-21,Aldabra 4 Liquidity Opportunity Vehicle,ALOVU,Cantor,26.1,$10.00,$10.00,$261.00,Priced,S/O
2026-01-21,GigCapital9,GIXXU,D. Boral Capital (ex-EF Hutton),22.0,$10.00,$10.00,$220.00,Priced,S/O
2026-01-20,DT House Ltd.,DTDT,American Trust Investment Services,5.0,$5.00,$5.50,$26.25,TBA,S/O
2026-01-20,HCM IV Acquisition Corp.,HACQU,Cantor,25.0,$10.00,$10.00,$250.00,Priced,S/O
2026-01-20,Mountain Lake Acquisition Corp. II,MLAAU,"BTIG, LLC",31.32,$10.00,$10.00,$313.20,Priced,S/O
2026-01-20,Peace Acquisition Corp.,PECEU,EarlyBirdCapital,6.0,$10.00,$10.00,$60.00,Priced,S/O
2026-01-20,Praetorian Acquisition Corp.,PTORU,Clear Street,22.0,$10.00,$10.00,$220.00,Priced,S/O
2026-01-20,X3 Acquisition Corp. Ltd.,XCBEU,Stifel,20.0,$10.00,$10.00,$200.00,Priced,S/O
2026-01-16,YCS Group Holdings,YCSG,American Trust Investment Services/Prime Number Capital,5.0,$4.00,$5.00,$23.00,TBA,S/O
2026-01-16,Yi Feng Holdings Ltd.,YIFE,Cathay Securities,3.75,$4.00,$6.00,$18.75,TBA,S/O
2026-01-15,FG Imperii Acquisition,FGIIU,ThinkEquity/EarlyBirdCapital,20.0,$10.00,$10.00,$200.00,Priced,S/O
2026-01-15,Infinite Eagle Acquisition,IEAGU,Goldman Sachs,30.0,$10.00,$10.00,$300.00,Priced,S/O
2026-01-15,"Nihon Shintatsu Co., Ltd.",JSTT,Spartan Capital Securities,3.75,$4.00,$6.00,$18.75,TBA,S/O
